activity_date,vessels_at_anchor,vessels_at_berth,vessels_departed,average_days_at_berth,average_days_in_port
2020-04-29,0.00000,7.00000,4.00000,3.25000,3.25000
2020-04-30,0.00000,8.00000,2.00000,2.00000,2.00000
2020-05-01,0.00000,6.00000,2.00000,2.00000,2.00000
2020-05-04,0.00000,8.00000,0.00000,0.00000,0.00000
2020-05-05,0.00000,11.00000,0.00000,0.00000,0.00000
2020-05-06,0.00000,8.00000,1.00000,1.00000,1.00000
2020-05-07,1.00000,8.00000,1.00000,5.00000,5.00000
2020-05-08,0.00000,8.00000,2.00000,2.50000,2.50000
2020-05-11,0.00000,6.00000,3.00000,4.33000,4.33000
2020-05-12,0.00000,8.00000,1.00000,4.00000,4.00000
2020-05-13,0.00000,9.00000,1.00000,5.00000,5.00000
2020-05-14,1.00000,8.00000,3.00000,2.66000,2.66000
2020-05-15,0.00000,9.00000,1.00000,3.00000,3.00000
2020-05-18,0.00000,8.00000,3.00000,3.00000,3.00000
2020-05-19,0.00000,8.00000,2.00000,4.00000,4.00000
2020-05-20,0.00000,10.00000,1.00000,5.00000,5.00000
2020-05-21,0.00000,7.00000,3.00000,1.33000,1.33000
2020-05-22,0.00000,8.00000,4.00000,2.75000,3.00000
2020-05-26,0.00000,8.00000,1.00000,5.00000,5.00000
2020-05-27,0.00000,9.00000,1.00000,5.00000,5.00000
2020-05-28,1.00000,10.00000,0.00000,0.00000,0.00000
2020-05-29,0.00000,10.00000,1.00000,1.00000,1.00000
2020-06-01,0.00000,7.00000,1.00000,5.00000,5.00000
2020-06-02,0.00000,6.00000,3.00000,3.33000,3.33000
2020-06-03,0.00000,6.00000,1.00000,1.00000,1.00000
2020-06-04,0.00000,7.00000,2.00000,2.50000,2.50000
2020-06-05,0.00000,9.00000,1.00000,2.00000,3.00000
2020-06-08,0.00000,10.00000,4.00000,2.25000,2.25000
2020-06-09,0.00000,9.00000,1.00000,4.00000,4.00000
2020-06-10,0.00000,9.00000,4.00000,3.50000,3.50000
2020-06-11,1.00000,6.00000,4.00000,2.50000,2.50000
2020-06-12,0.00000,7.00000,1.00000,3.00000,3.00000
2020-06-15,0.00000,13.00000,0.00000,0.00000,0.00000
2020-06-16,0.00000,13.00000,1.00000,1.00000,1.00000
2020-06-17,0.00000,13.00000,1.00000,3.00000,3.00000
2020-06-18,0.00000,13.00000,1.00000,2.00000,2.00000
2020-06-19,0.00000,10.00000,5.00000,3.20000,3.20000
2020-06-22,0.00000,12.00000,2.00000,4.00000,4.00000
2020-06-23,0.00000,14.00000,4.00000,2.00000,2.00000
2020-06-24,0.00000,12.00000,4.00000,2.50000,2.50000
2020-06-25,0.00000,7.00000,5.00000,3.00000,3.20000
2020-06-26,0.00000,10.00000,0.00000,0.00000,0.00000
2020-06-29,0.00000,8.00000,6.00000,3.50000,3.50000
2020-06-30,0.00000,11.00000,0.00000,0.00000,0.00000
2020-07-01,0.00000,9.00000,4.00000,2.50000,2.50000
2020-07-02,1.00000,8.00000,3.00000,3.00000,3.00000
2020-07-06,0.00000,11.00000,0.00000,0.00000,0.00000
2020-07-07,0.00000,14.00000,2.00000,3.50000,3.50000
2020-07-08,0.00000,12.00000,2.00000,4.50000,4.50000
2020-07-09,0.00000,13.00000,1.00000,2.00000,2.00000
2020-07-10,0.00000,10.00000,1.00000,3.00000,3.00000
2020-07-13,0.00000,9.00000,3.00000,3.66000,4.00000
2020-07-14,1.00000,8.00000,5.00000,1.80000,1.80000
2020-07-15,1.00000,13.00000,1.00000,1.00000,1.00000
2020-07-16,2.00000,10.00000,4.00000,2.50000,2.50000
2020-07-17,0.00000,10.00000,3.00000,2.66000,2.66000
2020-07-20,1.00000,7.00000,7.00000,3.28600,3.28600
2020-07-21,1.00000,11.00000,1.00000,5.00000,5.00000
2020-07-22,1.00000,12.00000,3.00000,2.33000,2.33000
2020-07-23,2.00000,12.00000,4.00000,2.00000,2.00000
2020-07-24,1.00000,9.00000,2.00000,3.00000,3.00000
2020-07-27,0.00000,10.00000,5.00000,4.00000,4.00000
2020-07-28,2.00000,12.00000,2.00000,2.50000,2.50000
2020-07-29,1.00000,11.00000,3.00000,2.00000,2.00000
2020-07-30,0.00000,9.00000,4.00000,2.50000,2.75000
2020-07-31,0.00000,9.00000,3.00000,3.66000,3.66000
2020-08-03,0.00000,11.00000,2.00000,3.50000,3.50000
2020-08-04,0.00000,11.00000,1.00000,5.00000,5.00000
2020-08-05,0.00000,12.00000,1.00000,3.00000,3.00000
2020-08-06,1.00000,11.00000,1.00000,3.00000,3.00000
2020-08-07,0.00000,12.00000,0.00000,0.00000,0.00000
2020-08-10,0.00000,15.00000,2.00000,3.00000,3.00000
2020-08-11,0.00000,12.00000,2.00000,4.00000,4.50000
2020-08-12,0.00000,12.00000,5.00000,3.00000,3.00000
2020-08-13,0.00000,10.00000,4.00000,2.25000,2.25000
2020-08-14,0.00000,8.00000,2.00000,3.50000,3.50000
2020-08-17,0.00000,10.00000,4.00000,3.50000,3.50000
2020-08-18,0.00000,11.00000,1.00000,4.00000,4.00000
2020-08-19,0.00000,12.00000,3.00000,3.33000,3.33000
2020-08-20,0.00000,11.00000,3.00000,4.00000,4.00000
2020-08-21,0.00000,9.00000,4.00000,3.25000,3.25000
2020-08-24,0.00000,12.00000,5.00000,2.20000,2.20000
2020-08-25,0.00000,14.00000,1.00000,3.00000,3.00000
2020-08-26,0.00000,14.00000,3.00000,2.00000,2.00000
2020-08-27,2.00000,13.00000,1.00000,5.00000,5.00000
2020-08-28,0.00000,12.00000,7.00000,4.00000,4.00000
2020-08-31,0.00000,13.00000,2.00000,3.00000,3.00000
2020-09-01,0.00000,16.00000,0.00000,0.00000,0.00000
2020-09-02,0.00000,17.00000,2.00000,4.50000,4.50000
2020-09-03,2.00000,13.00000,1.00000,2.00000,2.00000
2020-09-04,1.00000,11.00000,1.00000,4.00000,4.00000
2020-09-08,1.00000,13.00000,1.00000,2.00000,2.00000
2020-09-09,1.00000,16.00000,1.00000,1.00000,1.00000
2020-09-10,2.00000,16.00000,4.00000,4.00000,4.00000
2020-09-11,1.00000,14.00000,7.00000,4.43000,3.43000
2020-09-14,1.00000,12.00000,8.00000,3.37500,3.37500
2020-09-15,1.00000,11.00000,3.00000,4.33300,4.33300
2020-09-16,1.00000,13.00000,3.00000,4.00000,4.00000
2020-09-17,2.00000,9.00000,5.00000,3.60000,3.60000
2020-09-18,1.00000,10.00000,1.00000,2.00000,2.00000
2020-09-21,0.00000,11.00000,0.00000,0.00000,0.00000
2020-09-22,0.00000,14.00000,2.00000,3.50000,3.50000
2020-09-23,0.00000,13.00000,2.00000,1.50000,1.50000
2020-09-24,0.00000,11.00000,6.00000,3.66000,3.83000
2020-09-25,1.00000,10.00000,2.00000,2.50000,2.50000
2020-09-28,0.00000,8.00000,1.00000,3.00000,3.00000
2020-09-29,0.00000,14.00000,0.00000,0.00000,0.00000
2020-09-30,0.00000,13.00000,2.00000,2.00000,2.00000
2020-10-01,0.00000,14.00000,3.00000,4.00000,4.00000
2020-10-02,0.00000,12.00000,1.00000,2.00000,2.00000
2020-10-05,0.00000,15.00000,3.00000,6.33000,6.33000
2020-10-06,0.00000,13.00000,4.00000,5.25000,5.25000
2020-10-07,1.00000,16.00000,3.00000,2.33000,2.33000
2020-10-08,2.00000,15.00000,3.00000,3.66000,3.66000
2020-10-09,1.00000,13.00000,5.00000,3.40000,3.40000
2020-10-13,1.00000,16.00000,9.00000,5.22000,5.22000
2020-10-14,3.00000,14.00000,3.00000,2.66000,2.66000
2020-10-15,3.00000,13.00000,5.00000,4.20000,4.20000
2020-10-16,4.00000,14.00000,2.00000,3.50000,3.50000
2020-10-19,1.00000,15.00000,4.00000,3.00000,3.50000
2020-10-20,1.00000,17.00000,1.00000,7.00000,7.00000
2020-10-21,2.00000,16.00000,4.00000,5.75000,5.75000
2020-10-22,4.00000,14.00000,2.00000,5.00000,5.00000
2020-10-23,3.00000,16.00000,2.00000,6.50000,6.50000
2020-10-26,5.00000,16.00000,2.00000,4.50000,6.00000
2020-10-27,3.00000,18.00000,2.00000,5.00000,5.00000
2020-10-28,4.00000,15.00000,2.00000,11.00000,11.00000
2020-10-29,2.00000,16.00000,2.00000,4.00000,4.00000
2020-10-30,2.00000,14.00000,1.00000,7.00000,7.00000
2020-11-02,4.00000,15.00000,2.00000,4.50000,5.00000
2020-11-04,7.00000,14.00000,4.00000,4.50000,6.00000
2020-11-05,6.00000,13.00000,6.00000,6.67000,7.17000
2020-11-06,3.00000,13.00000,6.00000,4.50000,5.67000
2020-11-09,3.00000,12.00000,4.00000,4.25000,5.25000
2020-11-10,2.00000,14.00000,3.00000,5.33000,3.00000
2020-11-12,3.00000,16.00000,7.00000,5.57000,6.43000
2020-11-13,4.00000,16.00000,3.00000,3.33000,3.33000
2020-11-16,5.00000,16.00000,3.00000,5.30000,6.00000
2020-11-17,4.00000,17.00000,3.00000,4.60000,5.60000
2020-11-18,5.00000,16.00000,3.00000,4.30000,5.60000
2020-11-19,7.00000,13.00000,4.00000,4.25000,7.00000
2020-11-20,8.00000,15.00000,1.00000,3.00000,3.00000
2020-11-23,1.00000,19.00000,1.00000,7.00000,7.00000
2020-11-24,4.00000,17.00000,1.00000,5.00000,5.00000
2020-11-25,5.00000,16.00000,0.00000,0.00000,0.00000
2020-11-30,11.00000,15.00000,7.00000,5.14000,8.29000
2020-12-01,9.00000,19.00000,2.00000,11.00000,11.00000
2020-12-02,10.00000,17.00000,5.00000,7.00000,7.60000
2020-12-03,6.00000,16.00000,4.00000,5.25000,7.00000
2020-12-04,9.00000,16.00000,2.00000,8.00000,8.00000
2020-12-07,12.00000,17.00000,6.00000,5.83000,8.17000
2020-12-08,13.00000,15.00000,7.00000,5.71000,9.43000
2020-12-09,13.00000,16.00000,1.00000,6.00000,7.00000
2020-12-10,13.00000,14.00000,5.00000,4.20000,7.00000
2020-12-11,11.00000,15.00000,1.00000,8.00000,8.00000
2020-12-14,12.00000,17.00000,8.00000,5.63000,8.25000
2020-12-15,13.00000,16.00000,3.00000,6.00000,9.00000
2020-12-16,12.00000,17.00000,3.00000,9.30000,13.60000
2020-12-17,11.00000,17.00000,4.00000,4.50000,7.25000
2020-12-18,11.00000,15.00000,4.00000,3.25000,6.75000
2020-12-21,11.00000,15.00000,3.00000,7.33000,11.00000
2020-12-22,12.00000,15.00000,2.00000,6.00000,7.50000
2020-12-23,9.00000,15.00000,3.00000,5.33000,10.00000
2020-12-24,10.00000,17.00000,0.00000,0.00000,0.00000
2020-12-28,14.00000,15.00000,4.00000,5.75000,9.25000
2020-12-29,16.00000,16.00000,0.00000,0.00000,0.00000
2020-12-30,17.00000,17.00000,3.00000,7.33000,10.00000
2020-12-31,20.00000,17.00000,0.00000,0.00000,0.00000
2021-01-04,17.00000,17.00000,1.00000,12.00000,19.00000
2021-01-05,18.00000,14.00000,3.00000,7.33000,10.00000
2021-01-06,14.00000,16.00000,6.00000,6.33000,12.50000
2021-01-07,19.00000,14.00000,2.00000,1.50000,10.00000
2021-01-08,17.00000,15.00000,2.00000,8.00000,14.50000
2021-01-11,16.00000,12.00000,3.00000,3.33000,12.00000
2021-01-12,15.00000,15.00000,1.00000,3.00000,3.00000
2021-01-13,14.00000,12.00000,3.00000,7.33000,16.33000
2021-01-14,15.00000,12.00000,2.00000,7.00000,12.50000
2021-01-15,16.00000,12.00000,3.00000,3.00000,11.00000
2021-01-19,17.00000,16.00000,2.00000,9.00000,11.00000
2021-01-20,15.00000,18.00000,0.00000,0.00000,0.00000
2021-01-21,14.00000,15.00000,7.00000,5.00000,13.70000
2021-01-22,17.00000,15.00000,4.00000,5.25000,11.00000
2021-01-25,20.00000,15.00000,5.00000,10.00000,10.40000
2021-01-26,18.00000,14.00000,1.00000,10.00000,16.00000
2021-01-27,21.00000,14.00000,5.00000,5.00000,9.50000
2021-01-28,22.00000,14.00000,2.00000,7.50000,17.00000
2021-01-29,21.00000,17.00000,3.00000,4.66000,12.00000
2021-02-01,21.00000,15.00000,1.00000,6.00000,17.00000
2021-02-02,22.00000,14.00000,5.00000,4.00000,12.20000
2021-02-03,22.00000,14.00000,2.00000,6.00000,13.50000
2021-02-04,20.00000,17.00000,1.00000,6.00000,16.00000
2021-02-05,24.00000,17.00000,1.00000,8.00000,8.00000
2021-02-08,18.00000,17.00000,8.00000,6.00000,11.88000
2021-02-09,19.00000,15.00000,2.00000,6.50000,14.50000
2021-02-10,15.00000,16.00000,2.00000,2.50000,6.00000
2021-02-11,19.00000,14.00000,2.00000,5.00000,10.50000
2021-02-16,19.00000,15.00000,4.00000,7.25000,14.25000
2021-02-17,22.00000,15.00000,2.00000,9.00000,12.00000
2021-02-18,19.00000,15.00000,3.00000,3.33000,14.00000
2021-02-19,18.00000,17.00000,2.00000,3.00000,12.00000
2021-02-22,17.00000,17.00000,8.00000,5.50000,12.00000
2021-02-23,19.00000,16.00000,4.00000,3.25000,9.50000
2021-02-24,17.00000,16.00000,3.00000,8.00000,15.33000
2021-02-25,17.00000,15.00000,4.00000,3.75000,11.75000
2021-02-26,16.00000,14.00000,3.00000,5.00000,10.00000
2021-03-01,20.00000,16.00000,1.00000,8.00000,16.00000
2021-03-02,17.00000,18.00000,3.00000,5.33000,12.33000
2021-03-03,17.00000,15.00000,5.00000,7.20000,11.40000
2021-03-04,16.00000,16.00000,2.00000,7.00000,10.50000
2021-03-05,15.00000,15.00000,5.00000,5.60000,11.80000
2021-03-08,15.00000,13.00000,8.00000,6.25000,12.60000
2021-03-09,16.00000,16.00000,1.00000,2.00000,10.00000
2021-03-10,16.00000,16.00000,2.00000,5.50000,15.50000
2021-03-11,13.00000,16.00000,3.00000,5.66000,14.00000
2021-03-12,15.00000,15.00000,2.00000,6.00000,10.50000
2021-03-15,11.00000,15.00000,4.00000,6.50000,12.50000
2021-03-16,9.00000,17.00000,2.00000,2.50000,12.50000
2021-03-17,14.00000,16.00000,3.00000,6.66000,6.66000
2021-03-18,14.00000,17.00000,2.00000,9.50000,13.00000
2021-03-19,16.00000,14.00000,3.00000,6.33000,10.33000
2021-03-22,18.00000,16.00000,6.00000,7.33000,15.66000
2021-03-23,16.00000,18.00000,4.00000,5.00000,9.75000
2021-03-24,17.00000,17.00000,1.00000,7.00000,7.00000
2021-03-25,21.00000,16.00000,5.00000,4.40000,10.60000
2021-03-26,17.00000,14.00000,5.00000,5.40000,11.00000
2021-03-30,17.00000,17.00000,6.00000,4.66000,10.16000
2021-03-31,16.00000,16.00000,3.00000,3.00000,13.66000
2021-04-01,16.00000,15.00000,3.00000,5.00000,9.00000
2021-04-05,15.00000,14.00000,2.00000,5.00000,6.00000
2021-04-06,15.00000,14.00000,5.00000,5.00000,11.40000
2021-04-07,12.00000,15.00000,2.00000,4.50000,13.00000
2021-04-08,15.00000,16.00000,2.00000,2.50000,5.50000
2021-04-09,15.00000,16.00000,1.00000,3.00000,8.00000
2021-04-12,12.00000,17.00000,7.00000,6.00000,12.43000
2021-04-13,13.00000,17.00000,2.00000,4.50000,7.50000
2021-04-14,11.00000,17.00000,2.00000,6.00000,15.00000
2021-04-15,9.00000,16.00000,4.00000,7.75000,11.25000
2021-04-16,9.00000,16.00000,2.00000,6.00000,13.50000
2021-04-19,7.00000,16.00000,3.00000,9.00000,9.66000
2021-04-20,9.00000,15.00000,2.00000,5.00000,10.50000
2021-04-21,8.00000,14.00000,4.00000,5.50000,15.75000
2021-04-22,9.00000,13.00000,3.00000,6.33000,7.33000
2021-04-23,8.00000,15.00000,1.00000,7.00000,15.00000
2021-04-26,9.00000,17.00000,10.00000,5.30000,9.60000
2021-04-27,10.00000,17.00000,4.00000,6.25000,8.50000
2021-04-28,8.00000,16.00000,4.00000,4.50000,11.50000
2021-04-29,6.00000,15.00000,5.00000,3.60000,4.20000
2021-04-30,6.00000,16.00000,1.00000,3.00000,3.00000
2021-05-03,11.00000,13.00000,9.00000,5.89000,9.89000
2021-05-04,11.00000,13.00000,2.00000,6.50000,14.00000
2021-05-05,11.00000,14.00000,2.00000,7.00000,10.50000
2021-05-06,11.00000,17.00000,1.00000,8.00000,10.00000
2021-05-07,12.00000,17.00000,3.00000,7.33000,11.00000
2021-05-10,12.00000,15.00000,7.00000,4.50000,7.00000
2021-05-11,12.00000,16.00000,3.00000,8.00000,10.33000
2021-05-12,11.00000,16.00000,3.00000,4.67000,7.33000
2021-05-13,10.00000,17.00000,2.00000,7.00000,7.00000
2021-05-14,10.00000,17.00000,2.00000,2.66000,9.33000
2021-05-17,9.00000,17.00000,8.00000,5.26000,9.87000
2021-05-18,6.00000,16.00000,3.00000,7.67000,11.67000
2021-05-19,7.00000,16.00000,5.00000,4.40000,9.80000
2021-05-20,9.00000,17.00000,2.00000,4.50000,5.50000
2021-05-21,9.00000,17.00000,1.00000,1.00000,2.00000
2021-05-24,12.00000,16.00000,10.00000,4.50000,6.60000
2021-05-25,11.00000,17.00000,5.00000,6.40000,11.60000
2021-05-26,10.00000,16.00000,4.00000,7.00000,8.00000
2021-05-27,10.00000,16.00000,3.00000,3.33000,4.33000
2021-06-01,7.00000,14.00000,5.00000,4.80000,8.20000
2021-06-02,7.00000,11.00000,4.00000,5.75000,8.50000
2021-06-03,7.00000,11.00000,1.00000,9.00000,12.00000
2021-06-04,7.00000,14.00000,2.00000,7.00000,15.50000
2021-06-07,10.00000,16.00000,4.00000,6.50000,13.50000
2021-06-08,9.00000,10.00000,4.00000,5.25000,7.25000
2021-06-09,10.00000,16.00000,2.00000,3.00000,5.00000
2021-06-10,5.00000,15.00000,5.00000,4.20000,7.40000
2021-06-11,6.00000,15.00000,3.00000,6.67000,7.00000
2021-06-14,6.00000,16.00000,8.00000,5.25000,8.13000
2021-06-15,7.00000,15.00000,3.00000,2.66000,4.33000
2021-06-16,9.00000,14.00000,2.00000,4.50000,9.00000
2021-06-17,7.00000,17.00000,2.00000,6.50000,9.00000
2021-06-18,7.00000,15.00000,3.00000,4.67000,9.00000
2021-06-21,11.00000,14.00000,2.00000,8.50000,10.50000
2021-06-22,9.00000,17.00000,3.00000,3.00000,8.33000
2021-06-23,7.00000,18.00000,3.00000,3.33000,8.00000
2021-06-24,5.00000,15.00000,4.00000,4.00000,5.75000
2021-06-25,8.00000,15.00000,1.00000,3.00000,3.00000
2021-06-28,6.00000,16.00000,7.00000,5.14000,8.43000
2021-06-29,7.00000,14.00000,3.00000,7.33000,10.67000
2021-06-30,7.00000,14.00000,1.00000,3.00000,3.00000
2021-07-01,10.00000,14.00000,3.00000,7.00000,9.33000
2021-07-02,9.00000,14.00000,4.00000,7.75000,12.25000
2021-07-06,9.00000,18.00000,5.00000,6.20000,7.60000
2021-07-07,9.00000,18.00000,3.00000,8.30000,13.66000
2021-07-08,9.00000,16.00000,4.00000,3.75000,6.33000
2021-07-09,9.00000,15.00000,2.00000,6.00000,8.50000
2021-07-12,11.00000,16.00000,6.00000,7.17000,12.83000
2021-07-13,11.00000,16.00000,4.00000,5.75000,8.75000
2021-07-14,9.00000,18.00000,1.00000,4.00000,9.00000
2021-07-15,11.00000,17.00000,2.00000,6.50000,8.00000
2021-07-16,12.00000,17.00000,1.00000,6.00000,6.00000
2021-07-19,9.00000,16.00000,10.00000,6.20000,10.40000
2021-07-20,13.00000,16.00000,2.00000,7.00000,8.00000
2021-07-21,15.00000,18.00000,0.00000,0.00000,0.00000
2021-07-22,18.00000,16.00000,2.00000,5.00000,6.50000
2021-07-23,18.00000,14.00000,4.00000,3.50000,4.60000
2021-07-26,13.00000,19.00000,8.00000,6.87000,10.75000
2021-07-27,17.00000,17.00000,3.00000,4.66000,8.33000
2021-07-28,15.00000,17.00000,3.00000,5.33000,8.00000
2021-07-29,17.00000,16.00000,1.00000,5.00000,9.00000
2021-07-30,17.00000,16.00000,1.00000,8.00000,15.00000
2021-08-02,19.00000,17.00000,4.00000,7.50000,14.50000
2021-08-03,16.00000,15.00000,7.00000,7.86000,9.71000
2021-08-04,20.00000,15.00000,0.00000,0.00000,0.00000
2021-08-05,20.00000,16.00000,3.00000,3.33000,10.33000
2021-08-06,18.00000,19.00000,1.00000,9.00000,16.00000
2021-08-09,19.00000,16.00000,9.00000,5.11000,9.33000
2021-08-10,19.00000,17.00000,1.00000,4.00000,10.00000
2021-08-11,21.00000,17.00000,2.00000,5.00000,10.50000
2021-08-12,22.00000,17.00000,3.00000,9.33000,17.33000
2021-08-13,23.00000,15.00000,1.00000,10.00000,15.00000
2021-08-16,23.00000,18.00000,8.00000,6.25000,13.87000
2021-08-17,22.00000,18.00000,1.00000,12.00000,12.00000
2021-08-18,20.00000,19.00000,1.00000,2.00000,9.00000
2021-08-19,22.00000,16.00000,5.00000,5.80000,12.20000
2021-08-20,23.00000,17.00000,2.00000,7.00000,19.00000
2021-08-23,23.00000,15.00000,10.00000,6.50000,13.40000
2021-08-24,24.00000,18.00000,1.00000,9.00000,12.00000
2021-08-25,26.00000,16.00000,3.00000,4.66000,15.00000
2021-08-26,25.00000,17.00000,1.00000,4.00000,14.00000
2021-08-27,26.00000,16.00000,3.00000,5.30000,16.00000
2021-08-30,24.00000,18.00000,6.00000,7.67000,15.50000
2021-08-31,23.00000,18.00000,3.00000,5.67000,15.00000
2021-09-01,21.00000,19.00000,3.00000,5.33000,15.00000
2021-09-02,21.00000,17.00000,5.00000,8.20000,15.60000
2021-09-03,19.00000,18.00000,2.00000,7.50000,16.50000
2021-09-07,20.00000,19.00000,6.00000,6.50000,12.00000
2021-09-08,20.00000,18.00000,4.00000,8.25000,19.75000
2021-09-09,19.00000,18.00000,2.00000,7.50000,14.00000
2021-09-10,23.00000,17.00000,2.00000,7.50000,18.50000
2021-09-13,21.00000,18.00000,10.00000,6.00000,15.80000
2021-09-14,25.00000,19.00000,1.00000,12.00000,21.00000
2021-09-15,27.00000,18.00000,3.00000,6.66000,13.66000
2021-09-16,29.00000,17.00000,2.00000,5.00000,17.50000
2021-09-17,28.00000,17.00000,2.00000,6.00000,11.50000
2021-09-20,37.00000,16.00000,8.00000,6.50000,15.13000
2021-09-21,35.00000,18.00000,3.00000,9.33000,15.67000
2021-09-22,33.00000,19.00000,3.00000,6.00000,15.33000
2021-09-23,31.00000,17.00000,5.00000,5.00000,14.40000
2021-09-24,28.00000,19.00000,1.00000,5.00000,20.00000
2021-09-27,34.00000,18.00000,5.00000,7.20000,19.00000
2021-09-28,30.00000,18.00000,4.00000,6.50000,20.00000
2021-09-29,32.00000,18.00000,5.00000,8.40000,13.60000
2021-09-30,31.00000,14.00000,5.00000,6.60000,17.40000
